Model,Feature Set,Test Accuracy,Test F1 (weighted),Test F1 (macro),CV F1m (mean),CV F1m (std)
Majority Class,Baseline,0.2727272727272727,0.11688311688311687,0.14285714285714285,,
Stratified Random,Baseline,0.2727272727272727,0.2756132756132756,0.2804232804232804,,
Logistic Regression,Behavioral Only,0.1818,0.1587,0.1693,0.5014,0.1145
Random Forest,Behavioral Only,0.5455,0.5455,0.5476,0.3875,0.1199
XGBoost,Behavioral Only,0.4545,0.4387,0.4497,0.3809,0.136
Logistic Regression,Behavioral + Demographic,0.2727,0.2413,0.2545,0.4548,0.1648
Random Forest,Behavioral + Demographic,0.3636,0.3485,0.3611,0.4403,0.088
XGBoost,Behavioral + Demographic,0.3636,0.3485,0.3611,0.3123,0.1354
