Model,Test Accuracy,Test F1 (weighted),Test F1 (macro),Test Precision (weighted),Test Recall (weighted),CV Accuracy (mean),CV Accuracy (std),CV F1w (mean),CV F1w (std),CV F1m (mean),CV F1m (std)
Majority Class Baseline,0.2727272727272727,0.11688311688311687,0.14285714285714285,0.07438016528925619,0.2727272727272727,,,,,,
Stratified Random Baseline,0.2727272727272727,0.2756132756132756,0.2804232804232804,0.28484848484848485,0.2727272727272727,,,,,,
Logistic Regression,0.1818,0.1587,0.1693,0.1409,0.1818,0.5444,0.0905,0.5024,0.1086,0.5014,0.1145
Random Forest,0.5455,0.5455,0.5476,0.5606,0.5455,0.4156,0.1051,0.3977,0.1245,0.3875,0.1199
XGBoost,0.4545,0.4387,0.4497,0.4636,0.4545,0.4156,0.138,0.3948,0.1435,0.3809,0.136
